results(matlab):	psnr		ssim		ifc	
    baby_GT.mat:	33.5258117	0.8897829	3.2032757	
    bird_GT.mat:	33.8921221	0.9329294	3.7417949	
butterfly_GT.mat:	27.6194606	0.9105071	4.5729242	
    head_GT.mat:	32.7883094	0.7990699	2.6514918	
   woman_GT.mat:	30.4098698	0.9123130	3.7298897	
           mean:	31.6471147	0.8889205	3.5798753
            std:	2.6279583	0.0524973	0.7138963
            var:	6.9061648	0.0027560	0.5096479
 psnr/ssim/ifc::	31.647/0.889/3.580
