results(matlab):	psnr		ssim		ifc	
    baby_GT.mat:	33.3500542	0.8863294	2.9899085	
    bird_GT.mat:	33.2374691	0.9245407	3.3936070	
butterfly_GT.mat:	26.1935981	0.8826242	3.7756611	
    head_GT.mat:	32.5675559	0.7933027	2.4696423	
   woman_GT.mat:	29.0893376	0.8949582	3.1817526	
           mean:	30.8876030	0.8763510	3.1621143
            std:	3.1494134	0.0492555	0.4846614
            var:	9.9188048	0.0024261	0.2348966

33637694088af7e14ce231f1add3b46dc55618c3
